'Erdos146Attack.ex_le_choose_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos146Attack.VinogradovLE.refl' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos146Attack.VinogradovLE.trans' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos146Attack.scale_le_scale' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos146Attack.vinogradovLE_scale_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos146Attack.rpow_not_vinogradov' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos146Attack.scale_not_vinogradov' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos146Attack.trivial_bound_not_vinogradov' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos146Attack.no_weaker_scale_suffices' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos146Attack.aks_bound_insufficient' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos146Attack.conjectureAt_conclusion_strictly_decreasing' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos146Attack.exR_le_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos146Attack.exR_vinogradov_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos146Attack.distance_to_target' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos146Attack.exists_lowDegree_vertex' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos146Attack.isDegenerate_zero_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos146Attack.conjectureAt_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos146Attack.IsDegenerate.of_isContained' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos146Attack.IsDegenerate.congr_iso' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos146Attack.ex_mono_of_isContained' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos146Attack.vinogradov_of_isContained' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos146Attack.exists_degeneracyList_aux' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos146Attack.exists_degeneracyList' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos146Attack.conjectureAt_of_fin' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos146Attack.conjectureAt_fin_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Erdos146Attack.conjecture_iff_ge_one' depends on axioms: [propext, Classical.choice, Quot.sound]
